spend_id;spend_date;campaign_id;campaign_name;channel;impressions;clicks;spend_rub
1;2024-01-01;YA_BRAND;Yandex Brand;Yandex Ads;2639;140;3576
2;2024-01-01;YA_GENERIC;Yandex Generic;Yandex Ads;4954;215;6565
3;2024-01-01;VK_RETARGET;VK Retargeting;VK Ads;13507;133;2610
4;2024-01-01;TG_LOCAL;Telegram Chelyabinsk;Telegram;5559;96;1607
5;2024-01-02;YA_BRAND;Yandex Brand;Yandex Ads;2528;141;3463
6;2024-01-02;YA_GENERIC;Yandex Generic;Yandex Ads;5046;206;6408
7;2024-01-02;VK_RETARGET;VK Retargeting;VK Ads;16587;158;2816
8;2024-01-02;TG_LOCAL;Telegram Chelyabinsk;Telegram;4800;87;1559
9;2024-01-03;YA_BRAND;Yandex Brand;Yandex Ads;2213;128;2994
10;2024-01-03;YA_GENERIC;Yandex Generic;Yandex Ads;4570;187;6211
11;2024-01-03;VK_RETARGET;VK Retargeting;VK Ads;12333;127;2329
12;2024-01-03;TG_LOCAL;Telegram Chelyabinsk;Telegram;5248;95;1633
13;2024-01-04;YA_BRAND;Yandex Brand;Yandex Ads;2490;140;3291
14;2024-01-04;YA_GENERIC;Yandex Generic;Yandex Ads;3907;163;5413
15;2024-01-04;VK_RETARGET;VK Retargeting;VK Ads;14821;147;2750
16;2024-01-04;TG_LOCAL;Telegram Chelyabinsk;Telegram;4874;87;1387
17;2024-01-05;YA_BRAND;Yandex Brand;Yandex Ads;2333;127;2950
18;2024-01-05;YA_GENERIC;Yandex Generic;Yandex Ads;4537;197;6130
19;2024-01-05;VK_RETARGET;VK Retargeting;VK Ads;12381;122;2317
20;2024-01-05;TG_LOCAL;Telegram Chelyabinsk;Telegram;4553;81;1356
21;2024-01-06;YA_BRAND;Yandex Brand;Yandex Ads;2410;131;3098
22;2024-01-06;YA_GENERIC;Yandex Generic;Yandex Ads;3588;152;4607
23;2024-01-06;VK_RETARGET;VK Retargeting;VK Ads;11162;116;2144
24;2024-01-06;TG_LOCAL;Telegram Chelyabinsk;Telegram;4322;79;1342
25;2024-01-07;YA_BRAND;Yandex Brand;Yandex Ads;2239;121;3095
26;2024-01-07;YA_GENERIC;Yandex Generic;Yandex Ads;3912;159;4812
27;2024-01-07;VK_RETARGET;VK Retargeting;VK Ads;11409;120;2267
28;2024-01-07;TG_LOCAL;Telegram Chelyabinsk;Telegram;4327;80;1395
29;2024-01-08;YA_BRAND;Yandex Brand;Yandex Ads;2768;152;3528
30;2024-01-08;YA_GENERIC;Yandex Generic;Yandex Ads;4048;171;5498
31;2024-01-08;VK_RETARGET;VK Retargeting;VK Ads;13466;129;2345
32;2024-01-08;TG_LOCAL;Telegram Chelyabinsk;Telegram;4559;82;1492
33;2024-01-09;YA_BRAND;Yandex Brand;Yandex Ads;2504;137;3172
34;2024-01-09;YA_GENERIC;Yandex Generic;Yandex Ads;4065;172;5626
35;2024-01-09;VK_RETARGET;VK Retargeting;VK Ads;14140;137;2514
36;2024-01-09;TG_LOCAL;Telegram Chelyabinsk;Telegram;5015;91;1468
37;2024-01-10;YA_BRAND;Yandex Brand;Yandex Ads;2874;155;3524
38;2024-01-10;YA_GENERIC;Yandex Generic;Yandex Ads;4553;196;6178
39;2024-01-10;VK_RETARGET;VK Retargeting;VK Ads;13941;137;2553
40;2024-01-10;TG_LOCAL;Telegram Chelyabinsk;Telegram;4417;76;1354
41;2024-01-11;YA_BRAND;Yandex Brand;Yandex Ads;2624;151;3426
42;2024-01-11;YA_GENERIC;Yandex Generic;Yandex Ads;4111;181;5440
43;2024-01-11;VK_RETARGET;VK Retargeting;VK Ads;15530;148;2767
44;2024-01-11;TG_LOCAL;Telegram Chelyabinsk;Telegram;4543;79;1411
45;2024-01-12;YA_BRAND;Yandex Brand;Yandex Ads;2645;140;3167
46;2024-01-12;YA_GENERIC;Yandex Generic;Yandex Ads;4702;202;6045
47;2024-01-12;VK_RETARGET;VK Retargeting;VK Ads;12674;128;2405
48;2024-01-12;TG_LOCAL;Telegram Chelyabinsk;Telegram;4310;79;1386
49;2024-01-13;YA_BRAND;Yandex Brand;Yandex Ads;2063;110;2571
50;2024-01-13;YA_GENERIC;Yandex Generic;Yandex Ads;3898;158;4944
51;2024-01-13;VK_RETARGET;VK Retargeting;VK Ads;10680;111;2169
52;2024-01-13;TG_LOCAL;Telegram Chelyabinsk;Telegram;3923;69;1160
53;2024-01-14;YA_BRAND;Yandex Brand;Yandex Ads;2300;122;2796
54;2024-01-14;YA_GENERIC;Yandex Generic;Yandex Ads;3456;147;4756
55;2024-01-14;VK_RETARGET;VK Retargeting;VK Ads;11740;121;2479
56;2024-01-14;TG_LOCAL;Telegram Chelyabinsk;Telegram;4128;75;1214
57;2024-01-15;YA_BRAND;Yandex Brand;Yandex Ads;2117;122;2911
58;2024-01-15;YA_GENERIC;Yandex Generic;Yandex Ads;4264;187;6163
59;2024-01-15;VK_RETARGET;VK Retargeting;VK Ads;14442;145;2667
60;2024-01-15;TG_LOCAL;Telegram Chelyabinsk;Telegram;4783;88;1504
61;2024-01-16;YA_BRAND;Yandex Brand;Yandex Ads;2440;139;3463
62;2024-01-16;YA_GENERIC;Yandex Generic;Yandex Ads;5170;208;6455
63;2024-01-16;VK_RETARGET;VK Retargeting;VK Ads;13100;134;2550
64;2024-01-16;TG_LOCAL;Telegram Chelyabinsk;Telegram;4630;83;1479
65;2024-01-17;YA_BRAND;Yandex Brand;Yandex Ads;2429;132;3386
66;2024-01-17;YA_GENERIC;Yandex Generic;Yandex Ads;5169;218;6542
67;2024-01-17;VK_RETARGET;VK Retargeting;VK Ads;12631;128;2349
68;2024-01-17;TG_LOCAL;Telegram Chelyabinsk;Telegram;3927;72;1302
69;2024-01-18;YA_BRAND;Yandex Brand;Yandex Ads;2264;127;3211
70;2024-01-18;YA_GENERIC;Yandex Generic;Yandex Ads;5301;222;6528
71;2024-01-18;VK_RETARGET;VK Retargeting;VK Ads;14767;153;2803
72;2024-01-18;TG_LOCAL;Telegram Chelyabinsk;Telegram;4171;79;1436
73;2024-01-19;YA_BRAND;Yandex Brand;Yandex Ads;2555;141;3294
74;2024-01-19;YA_GENERIC;Yandex Generic;Yandex Ads;4539;190;6025
75;2024-01-19;VK_RETARGET;VK Retargeting;VK Ads;15119;145;2679
76;2024-01-19;TG_LOCAL;Telegram Chelyabinsk;Telegram;5614;97;1599
77;2024-01-20;YA_BRAND;Yandex Brand;Yandex Ads;2204;121;2835
78;2024-01-20;YA_GENERIC;Yandex Generic;Yandex Ads;4126;172;5436
79;2024-01-20;VK_RETARGET;VK Retargeting;VK Ads;11788;118;2227
80;2024-01-20;TG_LOCAL;Telegram Chelyabinsk;Telegram;3725;69;1265
81;2024-01-21;YA_BRAND;Yandex Brand;Yandex Ads;2031;116;2921
82;2024-01-21;YA_GENERIC;Yandex Generic;Yandex Ads;4400;182;5795
83;2024-01-21;VK_RETARGET;VK Retargeting;VK Ads;11389;109;2142
84;2024-01-21;TG_LOCAL;Telegram Chelyabinsk;Telegram;4960;86;1410
85;2024-01-22;YA_BRAND;Yandex Brand;Yandex Ads;2033;111;2831
86;2024-01-22;YA_GENERIC;Yandex Generic;Yandex Ads;3890;168;5503
87;2024-01-22;VK_RETARGET;VK Retargeting;VK Ads;12660;129;2573
88;2024-01-22;TG_LOCAL;Telegram Chelyabinsk;Telegram;4808;83;1319
89;2024-01-23;YA_BRAND;Yandex Brand;Yandex Ads;2549;139;3565
90;2024-01-23;YA_GENERIC;Yandex Generic;Yandex Ads;4275;173;5196
91;2024-01-23;VK_RETARGET;VK Retargeting;VK Ads;15907;152;2758
92;2024-01-23;TG_LOCAL;Telegram Chelyabinsk;Telegram;4794;87;1528
93;2024-01-24;YA_BRAND;Yandex Brand;Yandex Ads;2710;144;3404
94;2024-01-24;YA_GENERIC;Yandex Generic;Yandex Ads;5102;213;6483
95;2024-01-24;VK_RETARGET;VK Retargeting;VK Ads;12676;131;2593
96;2024-01-24;TG_LOCAL;Telegram Chelyabinsk;Telegram;4912;93;1528
97;2024-01-25;YA_BRAND;Yandex Brand;Yandex Ads;2068;119;2830
98;2024-01-25;YA_GENERIC;Yandex Generic;Yandex Ads;5050;214;6324
99;2024-01-25;VK_RETARGET;VK Retargeting;VK Ads;14920;151;2789
100;2024-01-25;TG_LOCAL;Telegram Chelyabinsk;Telegram;5294;97;1643
101;2024-01-26;YA_BRAND;Yandex Brand;Yandex Ads;2638;140;3295
102;2024-01-26;YA_GENERIC;Yandex Generic;Yandex Ads;4677;203;6543
103;2024-01-26;VK_RETARGET;VK Retargeting;VK Ads;12175;126;2427
104;2024-01-26;TG_LOCAL;Telegram Chelyabinsk;Telegram;5103;88;1472
105;2024-01-27;YA_BRAND;Yandex Brand;Yandex Ads;2319;122;3078
106;2024-01-27;YA_GENERIC;Yandex Generic;Yandex Ads;3614;147;4732
107;2024-01-27;VK_RETARGET;VK Retargeting;VK Ads;11022;105;1992
108;2024-01-27;TG_LOCAL;Telegram Chelyabinsk;Telegram;4313;78;1315
109;2024-01-28;YA_BRAND;Yandex Brand;Yandex Ads;2044;109;2496
110;2024-01-28;YA_GENERIC;Yandex Generic;Yandex Ads;3555;157;5080
111;2024-01-28;VK_RETARGET;VK Retargeting;VK Ads;10813;111;2166
112;2024-01-28;TG_LOCAL;Telegram Chelyabinsk;Telegram;4413;76;1289
113;2024-01-29;YA_BRAND;Yandex Brand;Yandex Ads;2562;144;3358
114;2024-01-29;YA_GENERIC;Yandex Generic;Yandex Ads;4931;210;6129
115;2024-01-29;VK_RETARGET;VK Retargeting;VK Ads;12587;131;2450
116;2024-01-29;TG_LOCAL;Telegram Chelyabinsk;Telegram;5093;88;1597
117;2024-01-30;YA_BRAND;Yandex Brand;Yandex Ads;2715;143;3343
118;2024-01-30;YA_GENERIC;Yandex Generic;Yandex Ads;4456;192;6256
119;2024-01-30;VK_RETARGET;VK Retargeting;VK Ads;14872;143;2652
120;2024-01-30;TG_LOCAL;Telegram Chelyabinsk;Telegram;5098;90;1521
121;2024-01-31;YA_BRAND;Yandex Brand;Yandex Ads;2488;141;3540
122;2024-01-31;YA_GENERIC;Yandex Generic;Yandex Ads;4845;203;6011
123;2024-01-31;VK_RETARGET;VK Retargeting;VK Ads;12626;132;2694
124;2024-01-31;TG_LOCAL;Telegram Chelyabinsk;Telegram;5278;96;1551
125;2024-02-01;YA_BRAND;Yandex Brand;Yandex Ads;2929;155;3496
126;2024-02-01;YA_GENERIC;Yandex Generic;Yandex Ads;4036;178;5704
127;2024-02-01;VK_RETARGET;VK Retargeting;VK Ads;15297;150;3051
128;2024-02-01;TG_LOCAL;Telegram Chelyabinsk;Telegram;5231;96;1542
129;2024-02-02;YA_BRAND;Yandex Brand;Yandex Ads;2894;152;3528
130;2024-02-02;YA_GENERIC;Yandex Generic;Yandex Ads;5073;212;6423
131;2024-02-02;VK_RETARGET;VK Retargeting;VK Ads;13559;131;2545
132;2024-02-02;TG_LOCAL;Telegram Chelyabinsk;Telegram;5713;99;1726
133;2024-02-03;YA_BRAND;Yandex Brand;Yandex Ads;2554;136;3354
134;2024-02-03;YA_GENERIC;Yandex Generic;Yandex Ads;4047;166;4923
135;2024-02-03;VK_RETARGET;VK Retargeting;VK Ads;13990;144;2595
136;2024-02-03;TG_LOCAL;Telegram Chelyabinsk;Telegram;4642;84;1429
137;2024-02-04;YA_BRAND;Yandex Brand;Yandex Ads;2224;122;2965
138;2024-02-04;YA_GENERIC;Yandex Generic;Yandex Ads;4243;185;5517
139;2024-02-04;VK_RETARGET;VK Retargeting;VK Ads;14149;140;2664
140;2024-02-04;TG_LOCAL;Telegram Chelyabinsk;Telegram;4745;82;1393
141;2024-02-05;YA_BRAND;Yandex Brand;Yandex Ads;2454;133;3366
142;2024-02-05;YA_GENERIC;Yandex Generic;Yandex Ads;4730;192;5752
143;2024-02-05;VK_RETARGET;VK Retargeting;VK Ads;16830;161;2894
144;2024-02-05;TG_LOCAL;Telegram Chelyabinsk;Telegram;5766;100;1765
145;2024-02-06;YA_BRAND;Yandex Brand;Yandex Ads;2562;143;3216
146;2024-02-06;YA_GENERIC;Yandex Generic;Yandex Ads;5131;210;6613
147;2024-02-06;VK_RETARGET;VK Retargeting;VK Ads;17242;167;2975
148;2024-02-06;TG_LOCAL;Telegram Chelyabinsk;Telegram;4953;92;1508
149;2024-02-07;YA_BRAND;Yandex Brand;Yandex Ads;2263;130;3135
150;2024-02-07;YA_GENERIC;Yandex Generic;Yandex Ads;4719;205;6271
151;2024-02-07;VK_RETARGET;VK Retargeting;VK Ads;15234;154;2804
152;2024-02-07;TG_LOCAL;Telegram Chelyabinsk;Telegram;5548;102;1656
153;2024-02-08;YA_BRAND;Yandex Brand;Yandex Ads;2462;132;3115
154;2024-02-08;YA_GENERIC;Yandex Generic;Yandex Ads;5113;217;6764
155;2024-02-08;VK_RETARGET;VK Retargeting;VK Ads;15260;153;2894
156;2024-02-08;TG_LOCAL;Telegram Chelyabinsk;Telegram;4543;86;1436
157;2024-02-09;YA_BRAND;Yandex Brand;Yandex Ads;2979;157;3662
158;2024-02-09;YA_GENERIC;Yandex Generic;Yandex Ads;5260;231;7037
159;2024-02-09;VK_RETARGET;VK Retargeting;VK Ads;15891;152;3004
160;2024-02-09;TG_LOCAL;Telegram Chelyabinsk;Telegram;5259;95;1715
161;2024-02-10;YA_BRAND;Yandex Brand;Yandex Ads;2328;124;2997
162;2024-02-10;YA_GENERIC;Yandex Generic;Yandex Ads;4706;203;6075
163;2024-02-10;VK_RETARGET;VK Retargeting;VK Ads;12172;117;2297
164;2024-02-10;TG_LOCAL;Telegram Chelyabinsk;Telegram;4325;81;1476
165;2024-02-11;YA_BRAND;Yandex Brand;Yandex Ads;2433;130;3254
166;2024-02-11;YA_GENERIC;Yandex Generic;Yandex Ads;4667;195;5706
167;2024-02-11;VK_RETARGET;VK Retargeting;VK Ads;11698;122;2307
168;2024-02-11;TG_LOCAL;Telegram Chelyabinsk;Telegram;4295;78;1415
169;2024-02-12;YA_BRAND;Yandex Brand;Yandex Ads;2325;131;3382
170;2024-02-12;YA_GENERIC;Yandex Generic;Yandex Ads;5062;217;6715
171;2024-02-12;VK_RETARGET;VK Retargeting;VK Ads;15733;161;2880
172;2024-02-12;TG_LOCAL;Telegram Chelyabinsk;Telegram;5128;91;1517
173;2024-02-13;YA_BRAND;Yandex Brand;Yandex Ads;2775;156;3743
174;2024-02-13;YA_GENERIC;Yandex Generic;Yandex Ads;4542;186;5995
175;2024-02-13;VK_RETARGET;VK Retargeting;VK Ads;14255;143;2768
176;2024-02-13;TG_LOCAL;Telegram Chelyabinsk;Telegram;5515;95;1647
177;2024-02-14;YA_BRAND;Yandex Brand;Yandex Ads;2536;146;3339
