order_item_id;order_id;product_id;quantity;unit_price;discount_pct;line_amount
9000001;700001;1020;1;38345;0;38345
9000002;700002;1021;1;39490;7;36726
9000003;700003;1084;1;4567;5;4339
9000004;700004;1068;1;24490;5;23266
9000005;700005;1072;1;7790;7;7245
9000006;700006;1047;1;32567;0;32567
9000007;700007;1060;1;10090;0;10090
9000008;700008;1026;1;43790;0;43790
9000009;700009;1065;1;1090;12;959
9000010;700010;1091;1;798;0;798
9000011;700011;1085;1;1990;3;1930
9000012;700012;1001;1;72090;3;69927
9000013;700013;1021;1;40345;3;39135
9000014;700014;1032;1;4567;3;4430
9000015;700014;1022;1;19090;7;17754
9000016;700014;1002;1;85345;5;81078
9000017;700015;1061;1;3567;3;3460
9000018;700016;1069;1;6567;3;6370
9000019;700017;1094;1;2790;3;2706
9000020;700018;1039;1;68990;7;64161
9000021;700019;1018;1;40990;5;38940
9000022;700020;1048;1;44990;0;44990
9000023;700020;1082;1;3090;0;3090
9000024;700021;1042;1;19345;10;17411
9000025;700022;1069;1;6345;3;6155
9000026;700022;1074;1;11490;0;11490
9000027;700023;1047;1;33490;5;31816
9000028;700023;1090;1;1090;7;1014
9000029;700024;1083;1;2490;12;2191
9000030;700025;1038;1;42090;7;39144
9000031;700026;1039;1;68090;0;68090
9000032;700027;1076;2;1990;3;3861
9000033;700028;1082;1;3990;0;3990
9000034;700029;1035;1;56990;0;56990
9000035;700030;1078;1;691;0;691
9000036;700030;1069;1;6490;0;6490
9000037;700031;1071;1;7567;0;7567
9000038;700032;1014;1;28990;0;28990
9000039;700033;1023;1;24090;0;24090
9000040;700034;1032;1;4790;0;4790
9000041;700035;1017;1;22990;3;22300
9000042;700036;1069;1;6790;7;6315
9000043;700037;1049;1;51090;5;48536
9000044;700037;1087;1;1490;10;1341
9000045;700038;1006;1;127567;0;127567
9000046;700039;1023;1;25990;0;25990
9000047;700040;1066;1;12990;0;12990
9000048;700041;1032;1;4490;5;4266
9000049;700042;1012;1;34490;0;34490
9000050;700042;1077;1;884;5;840
9000051;700043;1041;1;49345;10;44411
9000052;700043;1077;1;902;0;902
9000053;700044;1050;1;6567;12;5779
9000054;700045;1058;1;12345;3;11975
9000055;700046;1068;1;24090;0;24090
9000056;700047;1066;1;11790;0;11790
9000057;700048;1092;1;692;7;644
9000058;700049;1077;1;903;0;903
9000059;700050;1078;1;690;0;690
9000060;700051;1011;1;42567;0;42567
9000061;700052;1043;1;31790;7;29565
9000062;700052;1086;1;4090;0;4090
