order_id;customer_id;session_id;order_datetime;order_status;delivery_type;delivery_city;gross_amount;discount_amount;delivery_fee;final_amount
700001;206544;5000010;2024-01-01 16:04:03;completed;Курьер;Магнитогорск;38345;0;590;38935
700002;207089;5000016;2024-01-01 15:55:39;completed;Курьер;Челябинск;39490;2764;0;36726
700003;204422;5000019;2024-01-01 21:18:15;completed;СДЭК;Челябинск;4567;228;590;4929
700004;209815;5000031;2024-01-01 18:35:03;completed;СДЭК;Пермь;24490;1224;690;23956
700005;207690;5000048;2024-01-01 10:46:55;completed;Самовывоз;Санкт-Петербург;7790;545;0;7245
700006;207901;5000059;2024-01-01 23:54:39;payment_failed;СДЭК;Миасс;32567;0;690;33257
700007;205413;5000061;2024-01-01 15:05:03;completed;Самовывоз;Челябинск;10090;0;0;10090
700008;201352;5000067;2024-01-01 21:57:41;payment_failed;Самовывоз;Уфа;43790;0;0;43790
700009;201560;5000077;2024-01-01 22:40:03;completed;СДЭК;Пермь;1090;131;490;1449
700010;206479;5000085;2024-01-01 15:37:31;completed;Курьер;Курган;798;0;590;1388
700011;;5000117;2024-01-01 19:20:51;completed;Самовывоз;Екатеринбург;1990;60;0;1930
700012;202751;5000143;2024-01-01 14:07:54;completed;СДЭК;Челябинск;72090;2163;690;70617
700013;209055;5000145;2024-01-01 22:41:56;completed;Самовывоз;Тюмень;40345;1210;0;39135
700014;203335;5000154;2024-01-01 16:57:23;completed;Самовывоз;Миасс;109002;5740;0;103262
700015;209141;5000170;2024-01-01 19:46:50;payment_failed;Курьер;Копейск;3567;107;390;3850
700016;207089;5000171;2024-01-01 21:37:29;completed;Курьер;Челябинск;6567;197;0;6370
700017;;5000181;2024-01-01 16:48:32;completed;Самовывоз;Екатеринбург;2790;84;0;2706
700018;206408;5000189;2024-01-01 12:28:18;returned;Курьер;Златоуст;68990;4829;390;64551
700019;203002;5000195;2024-01-01 10:24:39;completed;СДЭК;Копейск;40990;2050;490;39430
700020;200981;5000196;2024-01-01 22:39:46;completed;СДЭК;Оренбург;48080;0;490;48570
700021;209054;5000203;2024-01-01 20:58:30;completed;СДЭК;Уфа;19345;1934;490;17901
700022;209971;5000210;2024-01-01 20:49:15;completed;Курьер;Златоуст;17835;190;590;18235
700023;201249;5000224;2024-01-01 13:13:55;cancelled;Курьер;Челябинск;34580;1750;0;32830
700024;201058;5000238;2024-01-01 12:56:59;completed;Курьер;Челябинск;2490;299;290;2481
700025;209971;5000253;2024-01-01 23:26:42;cancelled;Курьер;Златоуст;42090;2946;390;39534
700026;203599;5000277;2024-01-01 23:01:42;completed;Курьер;Копейск;68090;0;590;68680
700027;;5000287;2024-01-01 15:12:48;completed;СДЭК;Челябинск;3980;119;690;4551
700028;202009;5000313;2024-01-02 13:46:17;completed;Самовывоз;Челябинск;3990;0;0;3990
700029;206444;5000319;2024-01-02 16:21:13;completed;Самовывоз;Копейск;56990;0;0;56990
700030;202818;5000324;2024-01-02 18:03:11;completed;Курьер;Миасс;7181;0;490;7671
700031;205564;5000328;2024-01-02 15:15:48;completed;Почта России;Челябинск;7567;0;550;8117
700032;201591;5000349;2024-01-02 16:16:08;completed;Курьер;Казань;28990;0;490;29480
700033;201626;5000360;2024-01-02 19:46:55;completed;СДЭК;Курган;24090;0;690;24780
