payment_id;order_id;payment_datetime;payment_method;payment_status;failure_reason;amount
1100001;700001;2024-01-01 16:08:03;СБП;successful;;38935
1100002;700002;2024-01-01 15:57:39;СБП;successful;;36726
1100003;700003;2024-01-01 21:22:15;Банковская карта;successful;;4929
1100004;700004;2024-01-01 18:42:03;Банковская карта;successful;;23956
1100005;700005;2024-01-01 10:55:55;СБП;successful;;7245
1100006;700006;2024-01-01 23:57:39;Рассрочка;failed;Недостаточно средств;33257
1100007;700007;2024-01-01 15:17:03;ЮMoney;successful;;10090
1100008;700008;2024-01-01 22:02:41;Банковская карта;failed;Пользователь отменил оплату;43790
1100009;700009;2024-01-01 22:45:03;СБП;successful;;1449
1100010;700010;2024-01-01 15:41:31;Банковская карта;successful;;1388
1100011;700011;2024-01-01 19:22:51;СБП;successful;;1930
1100012;700012;2024-01-01 14:10:54;СБП;successful;;70617
1100013;700013;2024-01-01 22:47:56;Наличными при получении;successful;;39135
1100014;700014;2024-01-01 17:08:23;СБП;successful;;103262
1100015;700015;2024-01-01 19:50:50;СБП;failed;Ошибка платёжного шлюза;3850
1100016;700016;2024-01-01 21:49:29;Рассрочка;successful;;6370
1100017;700017;2024-01-01 16:54:32;СБП;successful;;2706
1100018;700018;2024-01-01 12:40:18;СБП;refunded;;64551
1100019;700019;2024-01-01 10:27:39;Банковская карта;successful;;39430
1100020;700020;2024-01-01 22:50:46;Банковская карта;successful;;48570
1100021;700021;2024-01-01 21:01:30;Банковская карта;successful;;17901
1100022;700022;2024-01-01 20:58:15;СБП;successful;;18235
1100023;700023;2024-01-01 13:25:55;Банковская карта;refunded;Заказ отменён клиентом после оплаты;32830
1100024;700024;2024-01-01 13:01:59;Банковская карта;successful;;2481
1100025;700025;2024-01-01 23:27:42;Банковская карта;refunded;Заказ отменён клиентом после оплаты;39534
1100026;700026;2024-01-01 23:12:42;СБП;successful;;68680
1100027;700027;2024-01-01 15:17:48;СБП;successful;;4551
1100028;700028;2024-01-02 13:57:17;СБП;successful;;3990
1100029;700029;2024-01-02 16:28:13;Банковская карта;successful;;56990
1100030;700030;2024-01-02 18:13:11;Рассрочка;successful;;7671
1100031;700031;2024-01-02 15:22:48;СБП;successful;;8117
1100032;700032;2024-01-02 16:24:08;Банковская карта;successful;;29480
1100033;700033;2024-01-02 19:56:55;Наличными при получении;successful;;24780
1100034;700034;2024-01-02 13:41:40;Наличными при получении;refunded;;5180
1100035;700035;2024-01-02 16:55:06;Банковская карта;successful;;22300
1100036;700036;2024-01-02 16:47:33;Банковская карта;successful;;7005
1100037;700037;2024-01-02 15:38:33;ЮMoney;successful;;50267
1100038;700038;2024-01-02 14:24:21;Банковская карта;successful;;128257
1100039;700039;2024-01-02 23:11:14;Банковская карта;successful;;26380
1100040;700040;2024-01-02 09:29:00;Банковская карта;successful;;13340
1100041;700041;2024-01-02 15:08:03;Банковская карта;successful;;4266
1100042;700042;2024-01-02 10:15:56;Банковская карта;successful;;35330
1100043;700043;2024-01-02 23:38:29;СБП;successful;;45903
1100044;700044;2024-01-02 20:43:44;Наличными при получении;successful;;5779
1100045;700045;2024-01-02 17:48:59;Банковская карта;successful;;11975
1100046;700046;2024-01-03 11:56:53;СБП;successful;;24090
1100047;700047;2024-01-03 17:28:16;Банковская карта;successful;;11790
1100048;700048;2024-01-03 20:40:30;Рассрочка;successful;;934
1100049;700049;2024-01-03 12:37:09;СБП;successful;;1493
1100050;700050;2024-01-03 17:07:36;СБП;successful;;1240
1100051;700051;2024-01-03 19:04:57;Банковская карта;refunded;;42567
1100052;700052;2024-01-03 15:31:41;Банковская карта;successful;;116920
1100053;700053;2024-01-03 17:57:16;Банковская карта;successful;;17025
1100054;700054;2024-01-03 11:54:56;Банковская карта;successful;;6254
1100055;700055;2024-01-03 14:20:02;СБП;successful;;127480
1100056;700056;2024-01-03 17:43:30;ЮMoney;successful;;1167
1100057;700057;2024-01-03 16:29:50;Банковская карта;successful;;47586
1100058;700058;2024-01-03 16:08:36;СБП;successful;;8991
1100059;700059;2024-01-03 15:45:50;Банковская карта;successful;;115245
1100060;700060;2024-01-03 19:29:31;Банковская карта;successful;;12880
1100061;700061;2024-01-03 23:34:57;СБП;successful;;19580
1100062;700062;2024-01-03 20:41:22;Банковская карта;successful;;2179
1100063;700063;2024-01-03 18:30:02;Банковская карта;successful;;33218
1100064;700064;2024-01-03 18:29:52;Рассрочка;successful;;38096
1100065;700065;2024-01-03 16:09:59;Банковская карта;successful;;81724
1100066;700066;2024-01-03 14:41:13;Рассрочка;successful;;149180
1100067;700067;2024-01-04 10:09:32;ЮMoney;successful;;22964
1100068;700068;2024-01-04 17:23:03;Рассрочка;successful;;67722
1100069;700069;2024-01-04 18:14:25;Наличными при получении;refunded;;7540
1100070;700070;2024-01-04 13:37:45;СБП;successful;;91410
1100071;700071;2024-01-04 17:59:16;Наличными при получении;successful;;16334
1100072;700072;2024-01-04 19:57:46;Банковская карта;successful;;31480
1100073;700073;2024-01-04 11:45:36;Банковская карта;successful;;2135
1100074;700074;2024-01-04 16:23:34;Банковская карта;successful;;17151
1100075;700075;2024-01-04 21:22:02;Наличными при получении;successful;;18980
1100076;700076;2024-01-04 17:09:06;Наличными при получении;successful;;36848
1100077;700077;2024-01-04 11:18:14;Банковская карта;successful;;3316
1100078;700078;2024-01-04 15:58:42;Банковская карта;successful;;20416
1100079;700079;2024-01-04 11:05:28;ЮMoney;successful;;34590
1100080;700080;2024-01-04 17:27:24;Рассрочка;successful;;37747
1100081;700081;2024-01-04 14:20:02;СБП;successful;;25345
1100082;700082;2024-01-04 10:59:50;СБП;successful;;18935
1100083;700083;2024-01-04 09:58:45;Банковская карта;successful;;17585
1100084;700084;2024-01-04 12:17:28;Рассрочка;successful;;38695
1100085;700085;2024-01-04 17:22:49;СБП;refunded;Заказ отменён клиентом после оплаты;7980
1100086;700086;2024-01-04 17:36:42;ЮMoney;successful;;106200
1100087;700087;2024-01-05 15:51:02;Банковская карта;successful;;35350
1100088;700088;2024-01-05 17:21:11;Наличными при получении;successful;;13090
1100089;700089;2024-01-05 21:10:57;Банковская карта;successful;;99000
1100090;700090;2024-01-05 12:21:19;Банковская карта;successful;;78480
1100091;700091;2024-01-05 09:44:55;Банковская карта;failed;Отклонено банком;1595
1100092;700092;2024-01-05 13:53:57;Банковская карта;successful;;73090
1100093;700093;2024-01-05 23:28:27;Банковская карта;successful;;25567
1100094;700094;2024-01-05 20:04:30;Рассрочка;successful;;37381
1100095;700095;2024-01-05 22:29:12;Банковская карта;successful;;27480
1100096;700096;2024-01-05 14:49:01;СБП;successful;;27680
1100097;700097;2024-01-05 16:37:08;Банковская карта;successful;;2480
1100098;700098;2024-01-05 08:46:42;СБП;successful;;15431
1100099;700099;2024-01-05 18:44:58;Рассрочка;failed;Пользователь отменил оплату;25281
1100100;700100;2024-01-05 17:25:36;Банковская карта;successful;;44990
1100101;700101;2024-01-05 18:17:14;Банковская карта;successful;;39011
1100102;700102;2024-01-05 14:55:33;Банковская карта;successful;;45711
1100103;700103;2024-01-05 17:42:15;Банковская карта;successful;;67990
1100104;700104;2024-01-05 19:28:15;СБП;successful;;21380
1100105;700105;2024-01-06 13:54:19;СБП;successful;;7435
1100106;700106;2024-01-06 21:33:28;Банковская карта;failed;Пользователь отменил оплату;2380
1100107;700107;2024-01-06 19:05:28;СБП;successful;;7556
1100108;700108;2024-01-06 18:59:38;Банковская карта;successful;;31375
1100109;700109;2024-01-06 16:36:24;Банковская карта;successful;;19990
1100110;700110;2024-01-06 09:50:17;Банковская карта;successful;;26521
1100111;700111;2024-01-06 20:34:53;Банковская карта;successful;;1526
1100112;700112;2024-01-06 16:49:38;Банковская карта;successful;;84490
1100113;700113;2024-01-06 15:09:19;Банковская карта;successful;;101544
1100114;700114;2024-01-06 17:41:45;Банковская карта;successful;;106146
1100115;700115;2024-01-06 16:22:30;Наличными при получении;successful;;5480
1100116;700116;2024-01-06 22:02:58;Наличными при получении;successful;;77480
1100117;700117;2024-01-06 12:53:43;Рассрочка;refunded;;1090
