product_id;product_name;brand;category;subcategory;list_price;cost_price;active_from;active_to
1001;Apple iPhone 15 128GB Black;Apple;Смартфоны;Apple;72990;56500;2024-01-01;
1002;Apple iPhone 15 256GB Blue;Apple;Смартфоны;Apple;84990;66200;2024-01-01;
1003;Apple iPhone 15 Plus 128GB Pink;Apple;Смартфоны;Apple;82990;64600;2024-01-01;
1004;Apple iPhone 15 Pro 128GB Natural Titanium;Apple;Смартфоны;Apple;99990;79500;2024-01-01;
1005;Apple iPhone 15 Pro 256GB Blue Titanium;Apple;Смартфоны;Apple;112490;89200;2024-01-01;
1006;Apple iPhone 15 Pro Max 256GB Natural Titanium;Apple;Смартфоны;Apple;126990;101000;2024-01-01;
1007;Apple iPhone 14 128GB Midnight;Apple;Смартфоны;Apple;64990;50500;2024-01-01;
1008;Apple iPhone 13 128GB Starlight;Apple;Смартфоны;Apple;55990;42700;2024-01-01;
1009;Samsung Galaxy S24 8/256GB Onyx Black;Samsung;Смартфоны;Samsung;79990;61200;2024-01-01;
1010;Samsung Galaxy S24 Ultra 12/256GB Titanium Gray;Samsung;Смартфоны;Samsung;109990;84600;2024-01-01;
1011;Samsung Galaxy A55 8/256GB Awesome Navy;Samsung;Смартфоны;Samsung;42990;31500;2024-01-01;
1012;Samsung Galaxy A35 8/256GB Awesome Lilac;Samsung;Смартфоны;Samsung;34990;25200;2024-01-01;
1013;Xiaomi 14 12/512GB Black;Xiaomi;Смартфоны;Xiaomi / POCO;74990;55400;2024-01-01;
1014;Xiaomi Redmi Note 13 Pro 8/256GB Midnight Black;Xiaomi;Смартфоны;Xiaomi / POCO;28990;20100;2024-01-01;
1015;Xiaomi Redmi Note 13 8/256GB Ice Blue;Xiaomi;Смартфоны;Xiaomi / POCO;21490;14900;2024-01-01;
1016;POCO X6 Pro 12/512GB Black;POCO;Смартфоны;Xiaomi / POCO;35990;26300;2024-01-01;
1017;POCO M6 Pro 8/256GB Purple;POCO;Смартфоны;Xiaomi / POCO;22990;15900;2024-01-01;
1018;HONOR 90 12/512GB Emerald Green;HONOR;Смартфоны;Huawei / Honor;39990;29100;2024-01-01;
1019;HONOR X8b 8/256GB Glamorous Green;HONOR;Смартфоны;Huawei / Honor;24990;17600;2024-01-01;
1020;HUAWEI nova 12s 8/256GB Blue;HUAWEI;Смартфоны;Huawei / Honor;37990;27200;2024-01-01;
1021;realme 12 Pro+ 12/512GB Beige;realme;Смартфоны;Realme;39990;28400;2024-01-01;
1022;realme C67 8/256GB Sunny Oasis;realme;Смартфоны;Realme;18990;12900;2024-01-01;
1023;Tecno CAMON 30 8/256GB Iceland Basaltic Dark;Tecno;Смартфоны;Tecno;24990;17300;2024-01-01;
1024;Infinix NOTE 40 Pro 8/256GB Vintage Green;Infinix;Смартфоны;Infinix;26990;18900;2024-01-01;
1025;Apple Watch Series 9 41mm Midnight;Apple;Смарт-часы и браслеты;Apple Watch;38990;28600;2024-01-01;
1026;Apple Watch Series 9 45mm Starlight;Apple;Смарт-часы и браслеты;Apple Watch;42990;31800;2024-01-01;
1027;Apple Watch SE 2023 40mm Midnight;Apple;Смарт-часы и браслеты;Apple Watch;27990;20300;2024-01-01;
1028;Apple Watch Ultra 2 49mm Titanium;Apple;Смарт-часы и браслеты;Apple Watch;77990;60300;2024-01-01;
1029;Samsung Galaxy Watch6 44mm Graphite;Samsung;Смарт-часы и браслеты;Samsung;26990;19200;2024-01-01;
1030;HUAWEI Watch GT 4 46mm Black;HUAWEI;Смарт-часы и браслеты;Huawei / Honor;19990;13600;2024-01-01;
1031;Xiaomi Watch 2 Black;Xiaomi;Смарт-часы и браслеты;Xiaomi;18490;12400;2024-01-01;
1032;Xiaomi Smart Band 8 Graphite Black;Xiaomi;Смарт-часы и браслеты;Xiaomi;4490;2680;2024-01-01;
1033;Apple MacBook Air 13 M2 8/256GB Midnight;Apple;Компьютеры и планшеты;Ноутбуки;89990;71400;2024-01-01;
1034;Apple MacBook Air 13 M3 8/256GB Starlight;Apple;Компьютеры и планшеты;Ноутбуки;109990;87200;2024-01-01;
1035;ASUS VivoBook 15 X1504ZA 16/512GB;ASUS;Компьютеры и планшеты;Ноутбуки;56990;43300;2024-01-01;
1036;Lenovo IdeaPad Slim 3 15IRH8 16/512GB;Lenovo;Компьютеры и планшеты;Ноутбуки;64990;49200;2024-01-01;
1037;HUAWEI MateBook D16 16/512GB Space Gray;HUAWEI;Компьютеры и планшеты;Ноутбуки;69990;52600;2024-01-01;
1038;Apple iPad 10 64GB Wi-Fi Blue;Apple;Компьютеры и планшеты;Планшеты;41990;31500;2024-01-01;
1039;Apple iPad Air 11 M2 128GB Wi-Fi Space Gray;Apple;Компьютеры и планшеты;Планшеты;67990;52100;2024-01-01;
1040;Xiaomi Pad 6 8/256GB Gravity Gray;Xiaomi;Компьютеры и планшеты;Планшеты;34990;25100;2024-01-01;
1041;Samsung Galaxy Tab S9 FE 8/256GB Gray;Samsung;Компьютеры и планшеты;Планшеты;49990;37100;2024-01-01;
1042;Xiaomi Gaming Monitor G27i 27;Xiaomi;Компьютеры и планшеты;Мониторы;19990;13900;2024-01-01;
1043;Samsung Odyssey G5 27;Samsung;Компьютеры и планшеты;Мониторы;31990;22800;2024-01-01;
1044;Sony PlayStation 5 Slim 1TB;Sony;Телевизоры и игровые приставки;Игровые приставки;64990;51800;2024-01-01;
1045;Microsoft Xbox Series S 512GB;Microsoft;Телевизоры и игровые приставки;Игровые приставки;36990;28600;2024-01-01;
1046;Nintendo Switch OLED White;Nintendo;Телевизоры и игровые приставки;Игровые приставки;34990;26800;2024-01-01;
1047;Xiaomi TV A Pro 43 2024;Xiaomi;Телевизоры и игровые приставки;Телевизоры;32990;24100;2024-01-01;
1048;Xiaomi TV A Pro 55 2024;Xiaomi;Телевизоры и игровые приставки;Телевизоры;44990;33600;2024-01-01;
1049;Samsung UE50CU7100UXRU 50;Samsung;Телевизоры и игровые приставки;Телевизоры;51990;39800;2024-01-01;
1050;Xiaomi TV Box S 2nd Gen;Xiaomi;Телевизоры и игровые приставки;TV приставки;6990;4380;2024-01-01;
1051;Xiaomi Robot Vacuum S10 White;Xiaomi;Товары для дома и офиса;Робот-пылесосы;27990;19400;2024-01-01;
1052;Dreame D10 Plus Gen 2 White;Dreame;Товары для дома и офиса;Робот-пылесосы;39990;29200;2024-01-01;
1053;Dreame H12 Core Wet and Dry Vacuum;Dreame;Товары для дома и офиса;Пылесосы;32990;23600;2024-01-01;
1054;Xiaomi Vacuum Cleaner G10 Plus;Xiaomi;Товары для дома и офиса;Пылесосы;24990;17600;2024-01-01;
1055;Xiaomi Smart Air Fryer 6.5L Black;Xiaomi;Товары для дома и офиса;Для кухни;12990;8490;2024-01-01;
1056;Xiaomi Electric Kettle 2 White;Xiaomi;Товары для дома и офиса;Для кухни;3490;2010;2024-01-01;
1057;Xiaomi Smart Humidifier 2 White;Xiaomi;Товары для дома и офиса;Климатическая техника;7490;4520;2024-01-01;
1058;Xiaomi Smart Air Purifier 4 Compact;Xiaomi;Товары для дома и офиса;Климатическая техника;11990;7790;2024-01-01;
1059;Xiaomi Electric Toothbrush T302 Dark Blue;Xiaomi;Товары для дома и офиса;Для ванны и туалета;3990;2320;2024-01-01;
1060;Dreame Hair Glory Hair Dryer White;Dreame;Товары для дома и офиса;Для ванны и туалета;9990;6460;2024-01-01;
1061;Xiaomi Body Composition Scale S400 White;Xiaomi;Товары для дома и офиса;Для красоты и здоровья;3490;2080;2024-01-01;
1062;Xiaomi Smart Pet Food Feeder White;Xiaomi;Товары для дома и офиса;Для животных;9990;6540;2024-01-01;
1063;Xiaomi Smart Camera C300;Xiaomi;Товары для дома и офиса;Видеонаблюдение;3990;2260;2024-01-01;
1064;Xiaomi Smart LED Bulb Essential White and Color;Xiaomi;Товары для дома и офиса;Для умного дома;1290;660;2024-01-01;
1065;Xiaomi Mi Smart Plug 2 Wi-Fi;Xiaomi;Товары для дома и офиса;Для умного дома;1490;790;2024-01-01;
1066;Apple AirPods 2nd Gen;Apple;Аудиотехника;Наушники;11990;8240;2024-01-01;
1067;Apple AirPods 3rd Gen Lightning;Apple;Аудиотехника;Наушники;17990;12800;2024-01-01;
1068;Apple AirPods Pro 2 USB-C;Apple;Аудиотехника;Наушники;24990;18400;2024-01-01;
1069;JBL Tune 720BT Black;JBL;Аудиотехника;Наушники;6490;3910;2024-01-01;
1070;Sony WH-CH720N Black;Sony;Аудиотехника;Наушники;13990;9280;2024-01-01;
1071;Xiaomi Redmi Buds 5 Pro Black;Xiaomi;Аудиотехника;Наушники;7490;4540;2024-01-01;
1072;HUAWEI FreeBuds 5i Isle Blue;HUAWEI;Аудиотехника;Наушники;7990;4910;2024-01-01;
1073;Marshall Emberton II Black and Brass;Marshall;Аудиотехника;Портативная акустика;18990;13100;2024-01-01;
1074;JBL Flip 6 Black;JBL;Аудиотехника;Портативная акустика;11990;7730;2024-01-01;
1075;Apple 20W USB-C Power Adapter;Apple;Аксессуары;Зарядные устройства;2490;1530;2024-01-01;
1076;Apple USB-C Charge Cable 1m;Apple;Аксессуары;Кабели;1990;1190;2024-01-01;
1077;Baseus Cafule USB-C to USB-C 100W 1m;Baseus;Аксессуары;Кабели;890;430;2024-01-01;
1078;Baseus USB-A to Lightning 2.4A 1m;Baseus;Аксессуары;Кабели;690;310;2024-01-01;
1079;UGREEN USB-C to USB-C 100W 2m;UGREEN;Аксессуары;Кабели;1490;810;2024-01-01;
1080;Baseus GaN5 Pro 65W Charger;Baseus;Аксессуары;Зарядные устройства;3990;2440;2024-01-01;
1081;Xiaomi 33W Charging Combo Type-A;Xiaomi;Аксессуары;Зарядные устройства;1990;1090;2024-01-01;
1082;Baseus Bipow Power Bank 20000mAh 20W;Baseus;Аксессуары;Внешние аккумуляторы;3490;2110;2024-01-01;
1083;Xiaomi Power Bank 10000mAh 22.5W Lite;Xiaomi;Аксессуары;Внешние аккумуляторы;2490;1480;2024-01-01;
1084;Apple MagSafe Charger;Apple;Аксессуары;Зарядные устройства;4990;3290;2024-01-01;
1085;Logitech M185 Wireless Mouse Gray;Logitech;Аксессуары;Компьютерные мыши;1790;1040;2024-01-01;
1086;Logitech K380 Bluetooth Keyboard Graphite;Logitech;Аксессуары;Клавиатуры;4490;2830;2024-01-01;
1087;Xiaomi Wireless Mouse Lite 2 Black;Xiaomi;Аксессуары;Компьютерные мыши;1290;690;2024-01-01;
