session_id;session_start;customer_id;city;device_type;channel;campaign_id;landing_category;product_views;add_to_cart;checkout_started;order_id;purchase_completed
5000001;2024-01-01 20:59:50;207071;Миасс;desktop;VK Ads;VK_RETARGET;Компьютеры и планшеты;1;0;0;;0
5000002;2024-01-01 16:50:00;204862;Челябинск;desktop;Referral;;Компьютеры и планшеты;3;0;0;;0
5000003;2024-01-01 22:09:23;209044;Тюмень;desktop;Referral;;Смартфоны;1;0;0;;0
5000004;2024-01-01 18:16:46;205236;Миасс;tablet;Direct;;Товары для дома и офиса;2;0;0;;0
5000005;2024-01-01 09:30:36;200020;Самара;tablet;VK Ads;VK_RETARGET;Смарт-часы и браслеты;3;0;0;;0
5000006;2024-01-01 12:55:22;;Челябинск;desktop;Organic;;Компьютеры и планшеты;5;0;0;;0
5000007;2024-01-01 14:55:39;209244;Тюмень;tablet;Yandex Ads;YA_BRAND;Смартфоны;8;0;0;;0
5000008;2024-01-01 12:21:36;206710;Челябинск;mobile;Direct;;Смарт-часы и браслеты;3;1;0;;0
5000009;2024-01-01 11:30:20;206475;Ижевск;mobile;Organic;;Смартфоны;4;0;0;;0
5000010;2024-01-01 16:04:03;206544;Магнитогорск;tablet;Yandex Ads;YA_BRAND;Смартфоны;2;1;1;700001;1
5000011;2024-01-01 13:05:35;;Екатеринбург;desktop;VK Ads;VK_RETARGET;Аксессуары;1;0;0;;0
5000012;2024-01-01 20:56:34;206353;Миасс;desktop;Organic;;Аудиотехника;4;0;0;;0
5000013;2024-01-01 16:43:36;201654;Миасс;mobile;Organic;;Компьютеры и планшеты;1;0;0;;0
5000014;2024-01-01 14:23:53;205195;Тюмень;tablet;Referral;;Компьютеры и планшеты;7;0;0;;0
5000015;2024-01-01 21:19:44;207149;Челябинск;desktop;Yandex Ads;YA_BRAND;Смартфоны;4;0;0;;0
5000016;2024-01-01 15:55:39;207089;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;6;1;1;700002;1
5000017;2024-01-01 22:06:50;;Челябинск;mobile;Referral;;Аксессуары;4;0;0;;0
5000018;2024-01-01 12:43:40;201944;Челябинск;mobile;VK Ads;VK_RETARGET;Телевизоры и игровые приставки;6;0;0;;0
5000019;2024-01-01 21:18:15;204422;Челябинск;tablet;Telegram;TG_LOCAL;Аксессуары;6;1;1;700003;1
5000020;2024-01-01 11:14:12;201327;Челябинск;mobile;Telegram;TG_LOCAL;Смартфоны;5;0;0;;0
5000021;2024-01-01 16:02:39;201478;Магнитогорск;mobile;Referral;;Смартфоны;6;0;0;;0
5000022;2024-01-01 11:30:03;200303;Златоуст;mobile;Yandex Ads;YA_GENERIC;Смарт-часы и браслеты;5;0;0;;0
5000023;2024-01-01 09:34:24;206319;Копейск;mobile;Yandex Ads;YA_GENERIC;Аудиотехника;7;0;0;;0
5000024;2024-01-01 15:12:37;203043;Златоуст;mobile;Telegram;TG_LOCAL;Смартфоны;4;0;0;;0
5000025;2024-01-01 21:58:10;209221;Екатеринбург;desktop;Direct;;Аксессуары;4;0;0;;0
5000026;2024-01-01 12:00:00;203508;Екатеринбург;mobile;Yandex Ads;YA_BRAND;Смартфоны;4;0;0;;0
5000027;2024-01-01 15:14:23;208644;Челябинск;mobile;Organic;;Смартфоны;4;0;0;;0
5000028;2024-01-01 14:52:13;204760;Челябинск;mobile;Organic;;Товары для дома и офиса;6;0;0;;0
5000029;2024-01-01 13:16:40;207734;Курган;mobile;Organic;;Смартфоны;4;0;0;;0
5000030;2024-01-01 11:03:32;206994;Челябинск;desktop;Yandex Ads;YA_GENERIC;Смарт-часы и браслеты;1;0;0;;0
5000031;2024-01-01 18:35:03;209815;Пермь;desktop;Direct;;Аудиотехника;1;1;1;700004;1
5000032;2024-01-01 21:19:57;200038;Тюмень;desktop;Yandex Ads;YA_BRAND;Телевизоры и игровые приставки;3;0;0;;0
5000033;2024-01-01 11:25:59;200171;Челябинск;desktop;Direct;;Аксессуары;2;0;0;;0
5000034;2024-01-01 09:05:02;;Оренбург;mobile;Yandex Ads;YA_GENERIC;Смартфоны;5;0;0;;0
5000035;2024-01-01 17:48:39;201606;Уфа;mobile;Organic;;Смартфоны;2;0;0;;0
